Timestamp,Provincia,Trabajo_Urbano/Rural,Tipo_de_beca,Ano_Convocatoria,Ano_de_retorno,Grado_Academico,Area_de_estudio,Trabaja_actualmente,Motivo_de_si/no_trabaja,Empleo_seguro,Empleo_adecuado,Transferencia_efectiva_de_habilidades,Sector_laboral,Tiempo_en_encontrar_empleo,Calidad_primer_empleo,Categoria_salarial,Lugar_de_trabajo,Numero_de_colegas,Satisfaccion_laboral,Motivo_(in)satisfaccion_laboral,Calidad_relativa_de_empleo ,Satisfaccion_salarial,Horas_semanales_de_trabajo,Tiempo_de_paro,Tiempo_de_busqueda,Tipo_de_gestion,Experiencia_laboral_previa,Motivos_dejar_previo_empleo,Motivo_subempleo,Deseos,Disponibilidad_para_trabajar,Tiempo_disponible_para_trabajar,Gestiones_aumento_hora_empleo,Motivo_cambio_empleo,Motivo_trabajo_mas_40hrs
4/19/18 17:06,Guayas,Zona Urbana,Convocatoria Abierta,2010,2015,Doctorado,"Ingeniera, industria y construccion",SI,NA,SI,Si,Entre el 50% y el 75%,Sector Publico,6-Feb,"Volv a mi trabajo anterior, Otra gestin",2000-2500,Local de una empresa o del patrono,100 y ms,Poco Contento,"Por no poder trabajar en el rea de su especializacin, Por no tener estabilidad laboral",Mejor,Si,40 horas o mas,NA,NA,,NA,NA,NA,,NA,NA,,,Exceso de trabajo o clientes
4/20/18 16:00,Loja,Zona Urbana,Convocatoria Abierta,2010,2013,Maestria,"Ciencias naturales, matemticas y estadistica",NO,No disponer de un empleo,NO,NA,NA,NA,NA,,NA,,,NA,,NA,,NA,6 meses,6 meses,"Hablar con amigos o parientes, Bscar por Internet",mas de 4 a̱os,Terminacin de contrato,NA,,NA,NA,,,
4/23/18 01:16,Pichincha,Zona Urbana,Convocatoria Abierta,2010,2012,Maestria,"Ingeniera, industria y construccion",NO,Suspensin temporal del trabajo,NO,NA,NA,NA,NA,,NA,,,NA,,NA,,NA,1 a̱o o mas,1 a̱o o mas,Otra gestin,mas de 4 a̱os,Para estudiar con la beca del Senescyt,NA,,NA,NA,,,
4/23/18 21:10,Carchi,Zona Urbana,Convocatoria Abierta,2010,2017,Doctorado,"Ingeniera, industria y construccion",NO,No disponer de un empleo,NO,NA,NA,NA,NA,,NA,,,NA,,NA,,NA,1 mes,1 a̱o o mas,"Acudir a sitios de contratacin temporal, Hablar con amigos o parientes, Asistir a entrevistas, Bscar por Internet, Enviar o presentar hojas de vida (carpeta), Otra gestin",menos 2 a̱os,Para estudiar con la beca del Senescyt,NA,,NA,NA,,,
4/24/18 06:25,Manabi,Zona Urbana,Convocatoria Abierta,2010,2014,Doctorado,"Agricultura, silvicultura, pesca y veterinaria",SI,NA,SI,Si,Ms del 75%,Academia,0-2,Volv a mi trabajo anterior,Mas 2500,Local de una empresa o del patrono,100 y ms,Contento,,Mejor,Si,40 horas o mas,NA,NA,,NA,NA,NA,,NA,NA,,,Llevo trabajo a casa
4/18/18 19:57,Pichincha,Zona Urbana,Otras,2011,2018,Maestria,Tecnologas de la informacion y la comunicacion,NO,No disponer de un empleo,NO,NA,NA,NA,NA,,NA,,,NA,,NA,,NA,6 meses,1 mes,"Hablar con amigos o parientes, Buscar en la prensa o radio, Acudir a agencias de empleo, Asistir a entrevistas, Bscar por Internet, Enviar o presentar hojas de vida (carpeta)",menos 2 a̱os,Renuncia voluntaria,NA,,NA,NA,,,
4/18/18 20:22,Pichincha,Zona Urbana,Convocatoria Abierta,2011,2015,Doctorado,"Ingeniera, industria y construccion",SI,NA,SI,Si,Entre el 50% y el 75%,Academia,0-2,"Asistiendo a entrevistas, Enviando o presentando hojas de vida (carpeta)",Mas 2500,Local de una empresa o del patrono,100 y ms,Contento,Estoy contento con mi trabajo,Mejor,Si,40 horas o mas,NA,NA,,NA,NA,NA,,NA,NA,,,Horario normal
4/19/18 01:51,Guayas,Zona Rural,Otras,2011,2015,Ttulo de tercer nivel,"Agricultura, silvicultura, pesca y veterinaria",SI,NA,SI,Si,Ms del 75%,Sector Privado,0-2,Hablando con amigos o parientes,500-1000,Finca o terreno ajeno,100 y ms,Descontento pero conforme,"Por tener ingresos bajos, Por muchas horas de trabajo, Por horarios de trabajo Inconveniente, Por excesiva carga de trabajo en horarios normales, Por no tener estabilidad laboral, En general, por las actividades o tareas que realiza, Por el ambiente de trabajo (malas relaciones entre compa��_eros o jefes",Mejor,No,40 horas o mas,NA,NA,,NA,NA,NA,,NA,NA,,,Exceso de trabajo o clientes
4/19/18 04:06,Pichincha,Zona Urbana,Convocatoria Abierta,2011,2013,Maestria,"Ingeniera, industria y construccion",SI,NA,SI,Si,Entre el 50% y el 75%,Academia,0-2,Hablando con amigos o parientes,1500-2000,Local de una empresa o del patrono,100 y ms,Descontento pero conforme,"Por no poder trabajar en el rea de su especializacin, Por tener ingresos bajos, Por muchas horas de trabajo, Por excesiva carga de trabajo en horarios normales",Mejor,No,40 horas o mas,NA,NA,,NA,NA,NA,,NA,NA,,,"Horario normal, Segundo empleo "
4/19/18 04:07,Pichincha,Zona Urbana,Convocatoria Abierta,2011,2014,Maestria,Tecnologas de la informacion y la comunicacion,NO,No disponer de un empleo,NO,NA,NA,NA,NA,,NA,,,NA,,NA,,NA,1 mes,1 mes,"Hablar con amigos o parientes, Buscar en la prensa o radio, Asistir a entrevistas, Bscar por Internet, Enviar o presentar hojas de vida (carpeta), Otra gestin",2-4 a̱os,Supresion partidas sector publico,NA,,NA,NA,,,
4/19/18 05:16,Manabi,Zona Rural,Convocatoria Abierta,2011,2014,Maestria,"Ingeniera, industria y construccion",NO,Suspensin temporal del trabajo,SI,Si,Entre el 50% y el 75%,Academia,6-Feb,Otra gestin,1500-2000,Su vivienda,Menos de 100,Contento,,Mejor,Si,40 horas o mas,NA,NA,,NA,NA,NA,,NA,NA,,,Horario normal
4/19/18 05:58,Pichincha,Zona Urbana,Convocatoria Abierta,2011,2012,Maestria,"Agricultura, silvicultura, pesca y veterinaria",SI,NA,SI,Si,Ms del 75%,Sector Publico,0-2,"Hablando con amigos o parientes, Buscando por Internet",1000-1500,Local de una empresa o del patrono,100 y ms,Poco Contento,"Por las pocas posibilidades de progresar, Por el ambiente de trabajo (malas relaciones entre compa��_eros o jefes",Mejor,Si,40 horas o mas,NA,NA,,NA,NA,NA,,NA,NA,,,La carga laboral aumento a causa de salida de personal
4/19/18 12:37,Pichincha,Zona Urbana,Otras,2011,2018,Maestria,"Ingeniera, industria y construccion",NO,No disponer de un empleo,NO,NA,NA,NA,NA,,NA,,,NA,,NA,,NA,1 semana,1 mes,Otra gestin,No,NA,NA,,NA,NA,,,
4/23/18 01:38,Pichincha,Zona Urbana,Convocatoria Abierta,2011,2017,Doctorado,Salud y bienestar,NO,No disponer de un empleo,NO,NA,NA,NA,NA,,NA,,,NA,,NA,,NA,1 a̱o o mas,1 a̱o o mas,"Bscar por Internet, Enviar o presentar hojas de vida (carpeta), Otra gestin",mas de 4 a̱os,Para estudiar con la beca del Senescyt,NA,,NA,NA,,,
4/23/18 03:53,Pichincha,Zona Urbana,Convocatoria Abierta,2011,2017,Maestria,"Ingeniera, industria y construccion",NO,No disponer de un empleo,NO,NA,NA,NA,NA,,NA,,,NA,,NA,,NA,1 a̱o o mas,6 meses,"Hablar con amigos o parientes, Buscar en la prensa o radio, Asistir a entrevistas, Bscar por Internet, Enviar o presentar hojas de vida (carpeta)",menos 2 a̱os,Terminacin de contrato,NA,,NA,NA,,,
4/23/18 04:47,Tungurahua,Zona Urbana,Convocatoria Abierta,2011,2014,Maestria,"Ingeniera, industria y construccion",SI,NA,SI,No,Menos del 25%,Academia,0-2,Enviando o presentando hojas de vida (carpeta),1500-2000,Local de una empresa o del patrono,100 y ms,Poco Contento,"Por no poder trabajar en el rea de su especializacin, Por no tener estabilidad laboral, Por las pocas posibilidades de progresar, Por el ambiente de trabajo (malas relaciones entre compa��_eros o jefes",Igual,Si,40 horas o mas,NA,NA,,NA,NA,NA,,NA,NA,,,Horas de trabajo necesarias para obtener un ingreso suficiente
4/23/18 18:27,Azuay,Zona Rural,Convocatoria Abierta,2011,2013,Maestria,"Ciencias naturales, matemticas y estadistica",SI,NA,SI,Si,Ms del 75%,Sector Publico,6-Feb,Enviando o presentando hojas de vida (carpeta),Mas 2500,Local de una empresa o del patrono,100 y ms,Contento,,Mejor,Si,40 horas o mas,NA,NA,,NA,NA,NA,,NA,NA,,,"Horario normal, Horas extras"
4/23/18 22:04,Cotopaxi,Zona Urbana,Convocatoria Abierta,2011,2012,Maestria,Tecnologas de la informacion y la comunicacion,SI,NA,SI,Si,Menos del 25%,Academia,12-Jun,"Acudiendo a sitios de contratacin temporal, Asistiendo a entrevistas, Enviando o presentando hojas de vida (carpeta)",500-1000,Local de una empresa o del patrono,100 y ms,Poco Contento,"Por no poder trabajar en el rea de su especializacin, Por tener ingresos bajos, Por las pocas posibilidades de progresar",Igual,No,Menos de 40 horas,NA,NA,,NA,NA,Porque su trabajo as lo exige,Trabajar ms horas en su (s) trabajo (s) actual (es),SI,Hasta 20 horas,Presentar solicitud a otros empleadores,"Porque no trabaja jornada completa, Desea ejercer su profesin, Los ingresos no son suficientes",
4/23/18 22:08,Loja,Zona Urbana,Convocatoria Abierta,2011,2014,Maestria,"Ciencias naturales, matemticas y estadistica",NO,No disponer de un empleo,NO,NA,NA,NA,NA,,NA,,,NA,,NA,,NA,6 meses,1 mes,Otra gestin,mas de 4 a̱os,Terminacin de contrato,NA,,NA,NA,,,
4/23/18 23:17,Manabi,Zona Urbana,Convocatoria Abierta,2011,2014,Maestria,"Ciencias sociales, derecho y humanidades",SI,NA,SI,Si,Entre el 50% y el 75%,Sector Privado,0-2,"Hablando con amigos o parientes, Volv a mi trabajo anterior",Mas 2500,Local de una empresa o del patrono,Menos de 100,Contento,,Mejor,No,40 horas o mas,NA,NA,,NA,NA,NA,,NA,NA,,,Horario normal
4/24/18 01:02,Pichincha,Zona Urbana,Convocatoria Abierta,2011,2012,Maestria,"Ingeniera, industria y construccion",SI,NA,SI,No,Menos del 25%,Sector Privado,6-Feb,Volv a mi trabajo anterior,2000-2500,Local de una empresa o del patrono,100 y ms,Contento,,Mejor,No,40 horas o mas,NA,NA,,NA,NA,NA,,NA,NA,,,Horario normal
4/24/18 22:12,Guayas,Zona Urbana,Convocatoria Abierta,2011,2014,Maestria,"Ciencias sociales, derecho y humanidades",SI,NA,NO,NA,NA,NA,NA,,NA,,,NA,,NA,,NA,1 a̱o o mas,1 semana,"Acudir a sitios de contratacin temporal, Hablar con amigos o parientes, Bscar por Internet",mas de 4 a̱os,Para estudiar con la beca del Senescyt,NA,,NA,NA,,,
4/24/18 22:26,Pichincha,Zona Urbana,Convocatoria Abierta,2011,2013,Maestria,"Ciencias sociales, derecho y humanidades",SI,NA,SI,Si,Ms del 75%,Academia,0-2,Volv a mi trabajo anterior,Mas 2500,Local de una empresa o del patrono,100 y ms,Contento,,Mejor,Si,40 horas o mas,NA,NA,,NA,NA,NA,,NA,NA,,,Horario normal
5/16/18 18:51,Azuay,Zona Urbana,Convocatoria Abierta,2011,2013,Maestria,"Ciencias naturales, matemticas y estadistica",SI,No disponer de un empleo,NO,NA,NA,NA,NA,,NA,,,NA,,NA,,NA,6 meses,1 a̱o o mas,"Hablar con amigos o parientes, Buscar en la prensa o radio, Tratar de establecer su propio taller, empresa o negocio, Asistir a entrevistas, Bscar por Internet, Enviar o presentar hojas de vida (carpeta), Otra gestin",mas de 4 a̱os,Para estudiar con la beca del Senescyt,NA,,NA,NA,,,
5/16/18 20:35,Pichincha,Zona Rural,Convocatoria Abierta,2011,2015,Maestria,"Ingeniera, industria y construccion",SI,No disponer de un empleo,NO,NA,NA,NA,NA,,NA,,,NA,,NA,,NA,1 a̱o o mas,1 a̱o o mas,"Acudir a sitios de contratacin temporal, Hablar con amigos o parientes, Buscar en la prensa o radio, Acudir a agencias de empleo, Tratar de establecer su propio taller, empresa o negocio, Asistir a entrevistas, Colocar carteles o propagandas en tiendas o negocios, Bscar por Internet, Enviar o presentar hojas de vida (carpeta), Otra gestin",menos 2 a̱os,Para estudiar con la beca del Senescyt,NA,,NA,NA,,,
5/18/18 21:11,Azuay,Zona Urbana,Convocatoria Abierta,2011,2017,Doctorado,"Ciencias naturales, matemticas y estadistica",SI,NA,SI,Si,Ms del 75%,Sector Publico,0-2,Volv a mi trabajo anterior,1000-1500,Local de una empresa o del patrono,Menos de 100,Poco Contento,"Por tener ingresos bajos, Por no tener estabilidad laboral",Igual,No,40 horas o mas,NA,NA,,NA,NA,NA,,NA,NA,,,"Hay que realizar actividades extras de investigacin en casa como la revisin de informacin, lecturas, anlisis de datos, etc."
5/22/18 15:37,Guayas,Zona Urbana,Convocatoria Abierta,2011,2014,Maestria,"Ingeniera, industria y construccion",SI,NA,SI,Si,Entre el 50% y el 75%,Academia,0-2,Hablando con amigos o parientes,1500-2000,Local de una empresa o del patrono,100 y ms,Contento,,Mejor,Si,40 horas o mas,NA,NA,,NA,NA,NA,,NA,NA,,,Horario normal
5/22/18 18:40,Tungurahua,Zona Urbana,Convocatoria Abierta,2011,2013,Maestria,"Ingeniera, industria y construccion",SI,NA,SI,Si,Ms del 75%,Sector Publico,0-2,Enviando o presentando hojas de vida (carpeta),Mas 2500,Local de una empresa o del patrono,100 y ms,Contento,,Mejor,Si,40 horas o mas,NA,NA,,NA,NA,NA,,NA,NA,,,Horario normal
6/8/18 03:42,Pichincha,Zona Rural,Convocatoria Abierta,2011,2014,Maestria,Tecnologas de la informacion y la comunicacion,SI,NA,SI,No,Menos del 25%,Sector Publico,6-Feb,"Hablando con amigos o parientes, Volv a mi trabajo anterior",1000-1500,Local de una empresa o del patrono,100 y ms,Descontento pero conforme,"Por no poder trabajar en el rea de su especializacin, Por no tener estabilidad laboral, Por las pocas posibilidades de progresar",Igual,No,40 horas o mas,NA,NA,,NA,NA,NA,,NA,NA,,,Horario normal
6/8/18 04:51,Pichincha,Zona Urbana,Convocatoria Abierta,2011,2014,Maestria,"Ciencias naturales, matemticas y estadistica",SI,NA,SI,Si,Ms del 75%,Sector Privado,0-2,"Hablando con amigos o parientes, Enviando o presentando hojas de vida (carpeta)",500-1000,Se desplaza (distintos lugares),Menos de 100,Contento,,Mejor,No,40 horas o mas,NA,NA,,NA,NA,NA,,NA,NA,,,Horario normal
4/18/18 19:29,Pichincha,Zona Urbana,Becas de Excelencia,2012,2017,Ttulo de tercer nivel,Salud y bienestar,NO,No disponer de un empleo,NO,NA,NA,NA,NA,,NA,,,NA,,NA,,NA,1 mes,1 mes,"Acudir a sitios de contratacin temporal, Hablar con amigos o parientes, Acudir a agencias de empleo, Asistir a entrevistas, Bscar por Internet, Enviar o presentar hojas de vida (carpeta)",menos 2 a̱os,Renuncia voluntaria,NA,,NA,NA,,,
4/18/18 19:32,Guayas,Zona Urbana,Convocatoria Abierta,2012,2015,Maestria,"Ingeniera, industria y construccion",SI,NA,SI,Si,Menos del 25%,Academia,0-2,Enviando o presentando hojas de vida (carpeta),2000-2500,Local de una empresa o del patrono,100 y ms,Descontento pero conforme,"Por no poder trabajar en el rea de su especializacin, Por muchas horas de trabajo, Por excesiva carga de trabajo en horarios normales, Por las pocas posibilidades de progresar",Mejor,Si,40 horas o mas,NA,NA,,NA,NA,NA,,NA,NA,,,Exceso de trabajo o clientes
4/18/18 19:34,Manabi,Zona Urbana,Convocatoria Abierta,2012,2018,Doctorado,Tecnologas de la informacion y la comunicacion,SI,NA,NO,NA,NA,NA,NA,,NA,,,NA,,NA,,NA,1 semana,6 meses,"Hablar con amigos o parientes, Enviar o presentar hojas de vida (carpeta)",2-4 a̱os,Para estudiar con la beca del Senescyt,NA,,NA,NA,,,
4/18/18 19:36,Guayas,Zona Urbana,Becas de Excelencia,2012,2017,Ttulo de tercer nivel,"Ciencias sociales, derecho y humanidades",SI,NA,SI,Si,Entre el 25% y el 50%,Sector Privado,12-Jun,"Asistiendo a entrevistas, Enviando o presentando hojas de vida (carpeta)",500-1000,Local de una empresa o del patrono,100 y ms,Descontento pero conforme,Por tener ingresos bajos,No trabajaba anteriormente,No,40 horas o mas,NA,NA,,NA,NA,NA,,NA,NA,,,"Horario normal, Exceso de trabajo o clientes"
4/18/18 19:37,Pichincha,Zona Urbana,Convocatoria Abierta,2012,2015,Maestria,"Ingeniera, industria y construccion",SI,NA,SI,Si,Menos del 25%,Sector Publico,12-Jun,"Hablando con amigos o parientes, Buscando en la prensa o radio, Asistiendo a entrevistas, Buscando por Internet",500-1000,Local de una empresa o del patrono,100 y ms,Totalmente descontento,"Por tener ingresos bajos, Por no tener estabilidad laboral, Por las pocas posibilidades de progresar, Por el ambiente de trabajo (malas relaciones entre compa��_eros o jefes",Igual,No,Menos de 40 horas,NA,NA,,NA,NA,Reduccion de las actividades econmicas,Cambiar el (los) trabajo (s) actual (es) por otro trabajo con ms horas,SI,Hasta 20 horas,"Buscar terreno, edificio, maquinaria o equipo a fin de mejorar o crear su propia empresa","Porque no trabaja jornada completa, Desea ejercer su profesin, Los ingresos no son suficientes",
4/18/18 19:54,Pichincha,Zona Urbana,Becas de Excelencia,2012,2015,Maestria,"Ingeniera, industria y construccion",NO,No disponer de un empleo,NO,NA,NA,NA,NA,,NA,,,NA,,NA,,NA,1 a̱o o mas,1 a̱o o mas,"Hablar con amigos o parientes, Buscar en la prensa o radio, Acudir a agencias de empleo, Asistir a entrevistas, Bscar por Internet, Enviar o presentar hojas de vida (carpeta)",mas de 4 a̱os,Terminacin de contrato,NA,,NA,NA,,,
4/18/18 19:59,Guayas,Zona Urbana,Convocatoria Abierta,2012,2017,Doctorado,"Ingeniera, industria y construccion",NO,No disponer de un empleo,NO,NA,NA,NA,NA,,NA,,,NA,,NA,,NA,1 a̱o o mas,6 meses,"Asistir a entrevistas, Enviar o presentar hojas de vida (carpeta)",mas de 4 a̱os,Para estudiar con la beca del Senescyt,NA,,NA,NA,,,
4/18/18 21:03,Pichincha,Zona Urbana,Convocatoria Abierta,2012,2018,Doctorado,"Agricultura, silvicultura, pesca y veterinaria",NO,No disponer de un empleo,NO,NA,NA,NA,NA,,NA,,,NA,,NA,,NA,1 a̱o o mas,1 semana,"Hablar con amigos o parientes, Bscar por Internet, Enviar o presentar hojas de vida (carpeta)",2-4 a̱os,Para estudiar con la beca del Senescyt,NA,,NA,NA,,,
4/18/18 22:25,Loja,Zona Urbana,Convocatoria Abierta,2012,2017,Doctorado,Tecnologas de la informacion y la comunicacion,SI,NA,SI,Si,Ms del 75%,Academia,6-Feb,Volv a mi trabajo anterior,1500-2000,Local de una empresa o del patrono,100 y ms,Contento,,Mejor,No,40 horas o mas,NA,NA,,NA,NA,NA,,NA,NA,,,Horario normal
4/18/18 22:42,Pichincha,Zona Urbana,Becas de Excelencia,2012,2017,Ttulo de tercer nivel,"Ingeniera, industria y construccion",SI,NA,SI,Si,Ms del 75%,Sector Privado,0-2,"Hablando con amigos o parientes, Tratando de establecer su propio taller, empresa o negocio",385-500,Su vivienda,Menos de 100,Contento,,Igual,No,Menos de 40 horas,NA,NA,,NA,NA,Por falta de materia prima,Trabajar ms horas en su (s) trabajo (s) actual (es),SI,Hasta 10 horas,Buscar ms trabajo,Porque no trabaja jornada completa,
4/18/18 23:04,Guayas,Zona Urbana,Convocatoria Abierta,2012,2017,Doctorado,Tecnologas de la informacion y la comunicacion,SI,NA,SI,No,Menos del 25%,Academia,6-Feb,Hablando con amigos o parientes,Mas 2500,Local de una empresa o del patrono,100 y ms,Descontento pero conforme,"Por no poder trabajar en el rea de su especializacin, Por no tener estabilidad laboral, En general, por las actividades o tareas que realiza",Mejor,Si,40 horas o mas,NA,NA,,NA,NA,NA,,NA,NA,,,Horario normal
4/18/18 23:15,Pichincha,Zona Urbana,Convocatoria Abierta,2012,2016,Doctorado,"Ciencias sociales, derecho y humanidades",SI,NA,NO,NA,NA,NA,NA,,NA,,,NA,,NA,,NA,1 semana,1 a̱o o mas,"Hablar con amigos o parientes, Buscar en la prensa o radio, Bscar por Internet, Enviar o presentar hojas de vida (carpeta)",2-4 a̱os,Para estudiar con la beca del Senescyt,NA,,NA,NA,,,
4/18/18 23:52,Pichincha,Zona Urbana,Convocatoria Abierta,2012,2015,Maestria,"Ingeniera, industria y construccion",SI,NA,NO,NA,NA,NA,NA,,NA,,,NA,,NA,,NA,1 semana,1 a̱o o mas,Bscar por Internet,mas de 4 a̱os,Para estudiar con la beca del Senescyt,NA,,NA,NA,,,
4/19/18 00:21,Pichincha,Zona Urbana,Convocatoria Abierta,2012,2016,Doctorado,Tecnologas de la informacion y la comunicacion,SI,NA,SI,Si,Ms del 75%,Academia,0-2,Volv a mi trabajo anterior,Mas 2500,Local de una empresa o del patrono,100 y ms,Contento,,Mejor,No,40 horas o mas,NA,NA,,NA,NA,NA,,NA,NA,,,publicaciones
4/19/18 02:23,Pichincha,Zona Urbana,Becas de Excelencia,2012,2017,Ttulo de tercer nivel,"Ingeniera, industria y construccion",NO,No disponer de un empleo,NO,NA,NA,NA,NA,,NA,,,NA,,NA,,NA,1 a̱o o mas,6 meses,"Buscar en la prensa o radio, Asistir a entrevistas, Bscar por Internet, Enviar o presentar hojas de vida (carpeta)",No,NA,NA,,NA,NA,,,
