Timestamp,Provincia,Donde Trabaja,Tipo de beca,AnoConvocatoria,Ano de retorno,Grado Academico,Area de estudio,Trabaja actualmente,Motivo de si/no trabaja,Empleo seguro,Empleo adecuado,Transferencia efectiva de habilidades,Sector laboral,Tiempo para encontrar empleo,Calidad primer empleo,Categoria salarial,Lugar de trabajo,Numero de colegas,Satisfaccion laboral,Motivo (in)satisfaccion laboral,Calidad relativa de empleo ,Satisfaccion salarial,Horas semanales de trabajo,Tiempo de paro,Tiempo de busqueda,Tipo de gestion,Experiencia laboral previa,Motivos dejar previo empleo,Motivo subempleo,Deseos,Disponibilidad para trabajar,Tiempo disponible para trabajar,Gestiones aumento hora empleo,Motivo cambio empleo,Motivo trabajo mas 40hrs
4/19/18 17:06,Guayas,Zona Urbana,Convocatoria Abierta,2010.00,2015,Doctorado,"Ingeniera, industria y construccin",SI,,SI,Si,Entre el 50% y el 75%,Sector Pblico,Fuera del plazo establecido por el SENESCYT (2 a 6 meses),"Volv a mi trabajo anterior, Otra gestin",Entre 2000 a 2500 dlares,Local de una empresa o del patrono,100 y ms,Poco Contento,"Por no poder trabajar en el rea de su especializacin, Por no tener estabilidad laboral",Mejorado,Si,40 horas o ms,,,,,,,,,,,,Exceso de trabajo o clientes
4/20/18 16:00,Loja,Zona Urbana,Convocatoria Abierta,2010.00,2013,Maestria,"Ciencias naturales, matemticas y estadstica",NO,No disponer de un empleo,NO,,,,,,,,,,,,,,hace 6 meses,hace 6 meses,"Hablar con amigos o parientes, Bscar por Internet",Si - Ms de 4 aÐos de experiencia laboral,Terminacin de contrato,,,,,,,
4/23/18 01:16,Pichincha,Zona Urbana,Convocatoria Abierta,2010.00,2012,Maestria,"Ingeniera, industria y construccin",NO,Suspensin temporal del trabajo,NO,,,,,,,,,,,,,,hace ms de 1 aÐo,hace ms de 1 aÐo,Otra gestin,Si - Ms de 4 aÐos de experiencia laboral,Para estudiar con la beca del Senescyt,,,,,,,
4/23/18 21:10,Carchi,Zona Urbana,Convocatoria Abierta,2010.00,2017,Doctorado,"Ingeniera, industria y construccin",NO,No disponer de un empleo,NO,,,,,,,,,,,,,,hace 1 mes,hace ms de 1 aÐo,"Acudir a sitios de contratacin temporal, Hablar con amigos o parientes, Asistir a entrevistas, Bscar por Internet, Enviar o presentar hojas de vida (carpeta), Otra gestin",Si - Menos de dos aÐos de experiencia laboral,Para estudiar con la beca del Senescyt,,,,,,,
4/24/18 06:25,Manab,Zona Urbana,Convocatoria Abierta,2010.00,2014,Doctorado,"Agricultura, silvicultura, pesca y veterinaria",SI,,SI,Si,Ms del 75%,Academia,Dentro del plazo establecido por el SENESCYT (2 meses),Volv a mi trabajo anterior,Ms de 2500 dlares,Local de una empresa o del patrono,100 y ms,Contento,,Mejorado,Si,40 horas o ms,,,,,,,,,,,,Llevo trabajo a casa
4/18/18 19:57,Pichincha,Zona Urbana,Otras,2011.00,2018,Maestria,Tecnologas de la informacin y la comunicacin,NO,No disponer de un empleo,NO,,,,,,,,,,,,,,hace 6 meses,hace 1 mes,"Hablar con amigos o parientes, Buscar en la prensa o radio, Acudir a agencias de empleo, Asistir a entrevistas, Bscar por Internet, Enviar o presentar hojas de vida (carpeta)",Si - Menos de dos aÐos de experiencia laboral,Renuncia voluntaria,,,,,,,
4/18/18 20:22,Pichincha,Zona Urbana,Convocatoria Abierta,2011.00,2015,Doctorado,"Ingeniera, industria y construccin",SI,,SI,Si,Entre el 50% y el 75%,Academia,Dentro del plazo establecido por el SENESCYT (2 meses),"Asistiendo a entrevistas, Enviando o presentando hojas de vida (carpeta)",Ms de 2500 dlares,Local de una empresa o del patrono,100 y ms,Contento,Estoy contento con mi trabajo,Mejorado,Si,40 horas o ms,,,,,,,,,,,,Horario normal
4/19/18 01:51,Guayas,Zona Rural,Otras,2011.00,2015,Ttulo de tercer nivel,"Agricultura, silvicultura, pesca y veterinaria",SI,,SI,Si,Ms del 75%,Sector Privado,Dentro del plazo establecido por el SENESCYT (2 meses),Hablando con amigos o parientes,Entre 500 a 1000 dlares mensuales,Finca o terreno ajeno,100 y ms,Descontento pero conforme,"Por tener ingresos bajos, Por muchas horas de trabajo, Por horarios de trabajo Inconveniente, Por excesiva carga de trabajo en horarios normales, Por no tener estabilidad laboral, En general, por las actividades o tareas que realiza, Por el ambiente de trabajo (malas relaciones entre compaÐeros o jefes",Mejorado,No,40 horas o ms,,,,,,,,,,,,Exceso de trabajo o clientes
4/19/18 04:06,Pichincha,Zona Urbana,Convocatoria Abierta,2011.00,2013,Maestria,"Ingeniera, industria y construccin",SI,,SI,Si,Entre el 50% y el 75%,Academia,Dentro del plazo establecido por el SENESCYT (2 meses),Hablando con amigos o parientes,Entre 1500 a 2000 dlares,Local de una empresa o del patrono,100 y ms,Descontento pero conforme,"Por no poder trabajar en el rea de su especializacin, Por tener ingresos bajos, Por muchas horas de trabajo, Por excesiva carga de trabajo en horarios normales",Mejorado,No,40 horas o ms,,,,,,,,,,,,"Horario normal, Segundo empleo "
4/19/18 04:07,Pichincha,Zona Urbana,Convocatoria Abierta,2011.00,2014,Maestria,Tecnologas de la informacin y la comunicacin,NO,No disponer de un empleo,NO,,,,,,,,,,,,,,hace 1 mes,hace 1 mes,"Hablar con amigos o parientes, Buscar en la prensa o radio, Asistir a entrevistas, Bscar por Internet, Enviar o presentar hojas de vida (carpeta), Otra gestin",Si - Entre dos a 4 aÐos de experiencia laboral,Supresin de partidas del sector pblico,,,,,,,
4/19/18 05:16,Manab,Zona Rural,Convocatoria Abierta,2011.00,2014,Maestria,"Ingeniera, industria y construccin",NO,Suspensin temporal del trabajo,SI,Si,Entre el 50% y el 75%,Academia,Fuera del plazo establecido por el SENESCYT (2 a 6 meses),Otra gestin,Entre 1500 a 2000 dlares,Su vivienda,Menos de 100,Contento,,Mejorado,Si,40 horas o ms,,,,,,,,,,,,Horario normal
4/19/18 05:58,Pichincha,Zona Urbana,Convocatoria Abierta,2011.00,2012,Maestria,"Agricultura, silvicultura, pesca y veterinaria",SI,,SI,Si,Ms del 75%,Sector Pblico,Dentro del plazo establecido por el SENESCYT (2 meses),"Hablando con amigos o parientes, Buscando por Internet",Entre 1000 a 1500 dlares,Local de una empresa o del patrono,100 y ms,Poco Contento,"Por las pocas posibilidades de progresar, Por el ambiente de trabajo (malas relaciones entre compaÐeros o jefes",Mejorado,Si,40 horas o ms,,,,,,,,,,,,La carga laboral aumento a causa de salida de personal
4/19/18 12:37,Pichincha,Zona Urbana,Otras,2011.00,2018,Maestria,"Ingeniera, industria y construccin",NO,No disponer de un empleo,NO,,,,,,,,,,,,,,hace 1 semana,hace 1 mes,Otra gestin,No,,,,,,,,
4/23/18 01:38,Pichincha,Zona Urbana,Convocatoria Abierta,2011.00,2017,Doctorado,Salud y bienestar,NO,No disponer de un empleo,NO,,,,,,,,,,,,,,hace ms de 1 aÐo,hace ms de 1 aÐo,"Bscar por Internet, Enviar o presentar hojas de vida (carpeta), Otra gestin",Si - Ms de 4 aÐos de experiencia laboral,Para estudiar con la beca del Senescyt,,,,,,,
4/23/18 03:53,Pichincha,Zona Urbana,Convocatoria Abierta,2011.00,2017,Maestria,"Ingeniera, industria y construccin",NO,No disponer de un empleo,NO,,,,,,,,,,,,,,hace ms de 1 aÐo,hace 6 meses,"Hablar con amigos o parientes, Buscar en la prensa o radio, Asistir a entrevistas, Bscar por Internet, Enviar o presentar hojas de vida (carpeta)",Si - Menos de dos aÐos de experiencia laboral,Terminacin de contrato,,,,,,,
4/23/18 04:47,Tungurahua,Zona Urbana,Convocatoria Abierta,2011.00,2014,Maestria,"Ingeniera, industria y construccin",SI,,SI,No,Menos del 25%,Academia,Dentro del plazo establecido por el SENESCYT (2 meses),Enviando o presentando hojas de vida (carpeta),Entre 1500 a 2000 dlares,Local de una empresa o del patrono,100 y ms,Poco Contento,"Por no poder trabajar en el rea de su especializacin, Por no tener estabilidad laboral, Por las pocas posibilidades de progresar, Por el ambiente de trabajo (malas relaciones entre compaÐeros o jefes",Sigue igual,Si,40 horas o ms,,,,,,,,,,,,Horas de trabajo necesarias para obtener un ingreso suficiente
4/23/18 18:27,Azuay,Zona Rural,Convocatoria Abierta,2011.00,2013,Maestria,"Ciencias naturales, matemticas y estadstica",SI,,SI,Si,Ms del 75%,Sector Pblico,Fuera del plazo establecido por el SENESCYT (2 a 6 meses),Enviando o presentando hojas de vida (carpeta),Ms de 2500 dlares,Local de una empresa o del patrono,100 y ms,Contento,,Mejorado,Si,40 horas o ms,,,,,,,,,,,,"Horario normal, Horas extras"
4/23/18 22:04,Cotopaxi,Zona Urbana,Convocatoria Abierta,2011.00,2012,Maestria,Tecnologas de la informacin y la comunicacin,SI,,SI,Si,Menos del 25%,Academia,Fuera del plazo establecido por el SENESCYT (6 meses a 1 aÐo),"Acudiendo a sitios de contratacin temporal, Asistiendo a entrevistas, Enviando o presentando hojas de vida (carpeta)",Entre 500 a 1000 dlares mensuales,Local de una empresa o del patrono,100 y ms,Poco Contento,"Por no poder trabajar en el rea de su especializacin, Por tener ingresos bajos, Por las pocas posibilidades de progresar",Sigue igual,No,Menos de 40 horas,,,,,,Porque su trabajo as lo exige,Trabajar ms horas en su (s) trabajo (s) actual (es),S,Hasta 20 horas ms,Presentar solicitud a otros empleadores,"Porque no trabaja jornada completa, Desea ejercer su profesin, Los ingresos no son suficientes",
4/23/18 22:08,Loja,Zona Urbana,Convocatoria Abierta,2011.00,2014,Maestria,"Ciencias naturales, matemticas y estadstica",NO,No disponer de un empleo,NO,,,,,,,,,,,,,,hace 6 meses,hace 1 mes,Otra gestin,Si - Ms de 4 aÐos de experiencia laboral,Terminacin de contrato,,,,,,,
4/23/18 23:17,Manab,Zona Urbana,Convocatoria Abierta,2011.00,2014,Maestria,"Ciencias sociales, derecho y humanidades",SI,,SI,Si,Entre el 50% y el 75%,Sector Privado,Dentro del plazo establecido por el SENESCYT (2 meses),"Hablando con amigos o parientes, Volv a mi trabajo anterior",Ms de 2500 dlares,Local de una empresa o del patrono,Menos de 100,Contento,,Mejorado,No,40 horas o ms,,,,,,,,,,,,Horario normal
4/24/18 01:02,Pichincha,Zona Urbana,Convocatoria Abierta,2011.00,2012,Maestria,"Ingeniera, industria y construccin",SI,,SI,No,Menos del 25%,Sector Privado,Fuera del plazo establecido por el SENESCYT (2 a 6 meses),Volv a mi trabajo anterior,Entre 2000 a 2500 dlares,Local de una empresa o del patrono,100 y ms,Contento,,Mejorado,No,40 horas o ms,,,,,,,,,,,,Horario normal
4/24/18 22:12,Guayas,Zona Urbana,Convocatoria Abierta,2011.00,2014,Maestria,"Ciencias sociales, derecho y humanidades",SI,,NO,,,,,,,,,,,,,,hace ms de 1 aÐo,hace 1 semana,"Acudir a sitios de contratacin temporal, Hablar con amigos o parientes, Bscar por Internet",Si - Ms de 4 aÐos de experiencia laboral,Para estudiar con la beca del Senescyt,,,,,,,
4/24/18 22:26,Pichincha,Zona Urbana,Convocatoria Abierta,2011.00,2013,Maestria,"Ciencias sociales, derecho y humanidades",SI,,SI,Si,Ms del 75%,Academia,Dentro del plazo establecido por el SENESCYT (2 meses),Volv a mi trabajo anterior,Ms de 2500 dlares,Local de una empresa o del patrono,100 y ms,Contento,,Mejorado,Si,40 horas o ms,,,,,,,,,,,,Horario normal
5/16/18 18:51,Azuay,Zona Urbana,Convocatoria Abierta,2011.00,2013,Maestria,"Ciencias naturales, matemticas y estadstica",SI,No disponer de un empleo,NO,,,,,,,,,,,,,,hace 6 meses,hace ms de 1 aÐo,"Hablar con amigos o parientes, Buscar en la prensa o radio, Tratar de establecer su propio taller, empresa o negocio, Asistir a entrevistas, Bscar por Internet, Enviar o presentar hojas de vida (carpeta), Otra gestin",Si - Ms de 4 aÐos de experiencia laboral,Para estudiar con la beca del Senescyt,,,,,,,
5/16/18 20:35,Pichincha,Zona Rural,Convocatoria Abierta,2011.00,2015,Maestria,"Ingeniera, industria y construccin",SI,No disponer de un empleo,NO,,,,,,,,,,,,,,hace ms de 1 aÐo,hace ms de 1 aÐo,"Acudir a sitios de contratacin temporal, Hablar con amigos o parientes, Buscar en la prensa o radio, Acudir a agencias de empleo, Tratar de establecer su propio taller, empresa o negocio, Asistir a entrevistas, Colocar carteles o propagandas en tiendas o negocios, Bscar por Internet, Enviar o presentar hojas de vida (carpeta), Otra gestin",Si - Menos de dos aÐos de experiencia laboral,Para estudiar con la beca del Senescyt,,,,,,,
5/18/18 21:11,Azuay,Zona Urbana,Convocatoria Abierta,2011.00,2017,Doctorado,"Ciencias naturales, matemticas y estadstica",SI,,SI,Si,Ms del 75%,Sector Pblico,Dentro del plazo establecido por el SENESCYT (2 meses),Volv a mi trabajo anterior,Entre 1000 a 1500 dlares,Local de una empresa o del patrono,Menos de 100,Poco Contento,"Por tener ingresos bajos, Por no tener estabilidad laboral",Sigue igual,No,40 horas o ms,,,,,,,,,,,,"Hay que realizar actividades extras de investigacin en casa como la revisin de informacin, lecturas, anlisis de datos, etc."
5/22/18 15:37,Guayas,Zona Urbana,Convocatoria Abierta,2011.00,2014,Maestria,"Ingeniera, industria y construccin",SI,,SI,Si,Entre el 50% y el 75%,Academia,Dentro del plazo establecido por el SENESCYT (2 meses),Hablando con amigos o parientes,Entre 1500 a 2000 dlares,Local de una empresa o del patrono,100 y ms,Contento,,Mejorado,Si,40 horas o ms,,,,,,,,,,,,Horario normal
5/22/18 18:40,Tungurahua,Zona Urbana,Convocatoria Abierta,2011.00,2013,Maestria,"Ingeniera, industria y construccin",SI,,SI,Si,Ms del 75%,Sector Pblico,Dentro del plazo establecido por el SENESCYT (2 meses),Enviando o presentando hojas de vida (carpeta),Ms de 2500 dlares,Local de una empresa o del patrono,100 y ms,Contento,,Mejorado,Si,40 horas o ms,,,,,,,,,,,,Horario normal
6/8/18 03:42,Pichincha,Zona Rural,Convocatoria Abierta,2011.00,2014,Maestria,Tecnologas de la informacin y la comunicacin,SI,,SI,No,Menos del 25%,Sector Pblico,Fuera del plazo establecido por el SENESCYT (2 a 6 meses),"Hablando con amigos o parientes, Volv a mi trabajo anterior",Entre 1000 a 1500 dlares,Local de una empresa o del patrono,100 y ms,Descontento pero conforme,"Por no poder trabajar en el rea de su especializacin, Por no tener estabilidad laboral, Por las pocas posibilidades de progresar",Sigue igual,No,40 horas o ms,,,,,,,,,,,,Horario normal
6/8/18 04:51,Pichincha,Zona Urbana,Convocatoria Abierta,2011.00,2014,Maestria,"Ciencias naturales, matemticas y estadstica",SI,,SI,Si,Ms del 75%,Sector Privado,Dentro del plazo establecido por el SENESCYT (2 meses),"Hablando con amigos o parientes, Enviando o presentando hojas de vida (carpeta)",Entre 500 a 1000 dlares mensuales,Se desplaza (distintos lugares),Menos de 100,Contento,,Mejorado,No,40 horas o ms,,,,,,,,,,,,Horario normal
4/18/18 19:29,Pichincha,Zona Urbana,Becas de Excelencia,2012.00,2017,Ttulo de tercer nivel,Salud y bienestar,NO,No disponer de un empleo,NO,,,,,,,,,,,,,,hace 1 mes,hace 1 mes,"Acudir a sitios de contratacin temporal, Hablar con amigos o parientes, Acudir a agencias de empleo, Asistir a entrevistas, Bscar por Internet, Enviar o presentar hojas de vida (carpeta)",Si - Menos de dos aÐos de experiencia laboral,Renuncia voluntaria,,,,,,,
4/18/18 19:32,Guayas,Zona Urbana,Convocatoria Abierta,2012.00,2015,Maestria,"Ingeniera, industria y construccin",SI,,SI,Si,Menos del 25%,Academia,Dentro del plazo establecido por el SENESCYT (2 meses),Enviando o presentando hojas de vida (carpeta),Entre 2000 a 2500 dlares,Local de una empresa o del patrono,100 y ms,Descontento pero conforme,"Por no poder trabajar en el rea de su especializacin, Por muchas horas de trabajo, Por excesiva carga de trabajo en horarios normales, Por las pocas posibilidades de progresar",Mejorado,Si,40 horas o ms,,,,,,,,,,,,Exceso de trabajo o clientes
4/18/18 19:34,Manab,Zona Urbana,Convocatoria Abierta,2012.00,2018,Doctorado,Tecnologas de la informacin y la comunicacin,SI,,NO,,,,,,,,,,,,,,hace 1 semana,hace 6 meses,"Hablar con amigos o parientes, Enviar o presentar hojas de vida (carpeta)",Si - Entre dos a 4 aÐos de experiencia laboral,Para estudiar con la beca del Senescyt,,,,,,,
4/18/18 19:36,Guayas,Zona Urbana,Becas de Excelencia,2012.00,2017,Ttulo de tercer nivel,"Ciencias sociales, derecho y humanidades",SI,,SI,Si,Entre el 25% y el 50%,Sector Privado,Fuera del plazo establecido por el SENESCYT (6 meses a 1 aÐo),"Asistiendo a entrevistas, Enviando o presentando hojas de vida (carpeta)",Entre 500 a 1000 dlares mensuales,Local de una empresa o del patrono,100 y ms,Descontento pero conforme,Por tener ingresos bajos,No trabajaba anteriormente,No,40 horas o ms,,,,,,,,,,,,"Horario normal, Exceso de trabajo o clientes"
4/18/18 19:37,Pichincha,Zona Urbana,Convocatoria Abierta,2012.00,2015,Maestria,"Ingeniera, industria y construccin",SI,,SI,Si,Menos del 25%,Sector Pblico,Fuera del plazo establecido por el SENESCYT (6 meses a 1 aÐo),"Hablando con amigos o parientes, Buscando en la prensa o radio, Asistiendo a entrevistas, Buscando por Internet",Entre 500 a 1000 dlares mensuales,Local de una empresa o del patrono,100 y ms,Totalmente descontento,"Por tener ingresos bajos, Por no tener estabilidad laboral, Por las pocas posibilidades de progresar, Por el ambiente de trabajo (malas relaciones entre compaÐeros o jefes",Sigue igual,No,Menos de 40 horas,,,,,,Reduccin de las actividades econmicas,Cambiar el (los) trabajo (s) actual (es) por otro trabajo con ms horas,S,Hasta 20 horas ms,"Buscar terreno, edificio, maquinaria o equipo a fin de mejorar o crear su propia empresa","Porque no trabaja jornada completa, Desea ejercer su profesin, Los ingresos no son suficientes",
4/18/18 19:54,Pichincha,Zona Urbana,Becas de Excelencia,2012.00,2015,Maestria,"Ingeniera, industria y construccin",NO,No disponer de un empleo,NO,,,,,,,,,,,,,,hace ms de 1 aÐo,hace ms de 1 aÐo,"Hablar con amigos o parientes, Buscar en la prensa o radio, Acudir a agencias de empleo, Asistir a entrevistas, Bscar por Internet, Enviar o presentar hojas de vida (carpeta)",Si - Ms de 4 aÐos de experiencia laboral,Terminacin de contrato,,,,,,,
4/18/18 19:59,Guayas,Zona Urbana,Convocatoria Abierta,2012.00,2017,Doctorado,"Ingeniera, industria y construccin",NO,No disponer de un empleo,NO,,,,,,,,,,,,,,hace ms de 1 aÐo,hace 6 meses,"Asistir a entrevistas, Enviar o presentar hojas de vida (carpeta)",Si - Ms de 4 aÐos de experiencia laboral,Para estudiar con la beca del Senescyt,,,,,,,
4/18/18 21:03,Pichincha,Zona Urbana,Convocatoria Abierta,2012.00,2018,Doctorado,"Agricultura, silvicultura, pesca y veterinaria",NO,No disponer de un empleo,NO,,,,,,,,,,,,,,hace ms de 1 aÐo,hace 1 semana,"Hablar con amigos o parientes, Bscar por Internet, Enviar o presentar hojas de vida (carpeta)",Si - Entre dos a 4 aÐos de experiencia laboral,Para estudiar con la beca del Senescyt,,,,,,,
4/18/18 22:25,Loja,Zona Urbana,Convocatoria Abierta,2012.00,2017,Doctorado,Tecnologas de la informacin y la comunicacin,SI,,SI,Si,Ms del 75%,Academia,Fuera del plazo establecido por el SENESCYT (2 a 6 meses),Volv a mi trabajo anterior,Entre 1500 a 2000 dlares,Local de una empresa o del patrono,100 y ms,Contento,,Mejorado,No,40 horas o ms,,,,,,,,,,,,Horario normal
4/18/18 22:42,Pichincha,Zona Urbana,Becas de Excelencia,2012.00,2017,Ttulo de tercer nivel,"Ingeniera, industria y construccin",SI,,SI,Si,Ms del 75%,Sector Privado,Dentro del plazo establecido por el SENESCYT (2 meses),"Hablando con amigos o parientes, Tratando de establecer su propio taller, empresa o negocio",Entre 386 a 500 dlares mensuales,Su vivienda,Menos de 100,Contento,,Sigue igual,No,Menos de 40 horas,,,,,,Por falta de materia prima,Trabajar ms horas en su (s) trabajo (s) actual (es),S,Hasta 10 horas ms,Buscar ms trabajo,Porque no trabaja jornada completa,
4/18/18 23:04,Guayas,Zona Urbana,Convocatoria Abierta,2012.00,2017,Doctorado,Tecnologas de la informacin y la comunicacin,SI,,SI,No,Menos del 25%,Academia,Fuera del plazo establecido por el SENESCYT (2 a 6 meses),Hablando con amigos o parientes,Ms de 2500 dlares,Local de una empresa o del patrono,100 y ms,Descontento pero conforme,"Por no poder trabajar en el rea de su especializacin, Por no tener estabilidad laboral, En general, por las actividades o tareas que realiza",Mejorado,Si,40 horas o ms,,,,,,,,,,,,Horario normal
4/18/18 23:15,Pichincha,Zona Urbana,Convocatoria Abierta,2012.00,2016,Doctorado,"Ciencias sociales, derecho y humanidades",SI,,NO,,,,,,,,,,,,,,hace 1 semana,hace ms de 1 aÐo,"Hablar con amigos o parientes, Buscar en la prensa o radio, Bscar por Internet, Enviar o presentar hojas de vida (carpeta)",Si - Entre dos a 4 aÐos de experiencia laboral,Para estudiar con la beca del Senescyt,,,,,,,
